PPOS;rfp;HFG;salesName
SAB-TC399X_PDED-516_CU;SAK-TC399XP-256F300S;X;SAK-TC399XP-256F300S BC
SAB-TC399X_PDED-516_CU;SAK-TC399XP-256F300S_BD;X;SAK-TC399XP-256F300S BD
SAB-TC399X_PDED-516_CU;SAK-TC399XP-256F300S_BD;X;SAK-TC399XP-256F300S BD
SAB-TC399X_PDED-516_CU;SAK-TC399XP-256F300S;X;SAK-TC399XP-AGBT_AA
SAB-TC399X_PDED-516_CU;SAK-TC399XP-256F300S;X;SAK-TC399XP-DC
SAB-TC399X_PDED-516_CU;SAK-TC399XX-256F300S;X;SAK-TC399XX-256F300S BB
SAB-TC399X_PDED-516_CU;SAK-TC399XX-256F300S;X;SAK-TC399XX-256F300S BC
SAB-TC399X_PDED-516_CU;SAK-TC399XX-256F300S_BD;X;SAK-TC399XX-256F300S BD
SAB-TC399X_PDED-516_CU;SAK-TC399XX-256F300S_BD;X;SAK-TC399XX-256F300S BD
SAB-TC3E7QX_EVO-292;SAK-TC3E7QF-192F300S;X;SAK-TC3E7QC-192F300S AA
SAB-TC3E7QX_EVO-292;SAK-TC3E7QF-192F300S;X;SAK-TC3E7QF-192F300S AA
SAB-TC3E7QX_EVO-292;SAK-TC3E7QG-160F300S;X;SAK-TC3E7QG-160F300S AA
SAB-TC3E7QX_EVO-292;SAK-TC3E7QX-192F300S;X;SAK-TC3E7QX-192F300S AA
SAB-TC436DP_224_MOD_STD;SAK-TC436DP-04EB400MS;Y;SAK-TC436DP-04EB400MS AA
SAB-TC469QP_436_MOD_STD;SAK-TC469QP-12MF400MS;Y;SAK-TC469QP-12MF400MS AA
SAB-TC497XP_292_CUP_STD;SAK-TC497XP-24HO400CS;Y;SAK-TC497XE-24HO400CS AA
SAB-TC497XP_292_CUP_STD;SAK-TC497XP-24HO400CS;Y;SAK-TC497XE-24HO400CS BA
SAB-TC497XP_292_MOD_STD;SAK-TC497XP-24HF400MS;Y;SAK-TC497XP-24HF400MS BA
SAB-TC497XP_292_CUP_STD;SAK-TC497XP-24HO400CS;Y;SAK-TC497XP-24HO400CS BA
SAB-TC499XP_436_CUP_STD;SAK-TC499XP-24HO400CS;Y;SAK-TC499-DCS-CS
SAB-TC499XP_436_MOD_STD;SAK-TC499XP-24HF400MS;Y;SAK-TC499-DCS-MS
SAB-TC499XP_436_CUP_STD;SAK-TC499XP-24HO400CS;Y;SAK-TC499XE-24HO400CS AA
SAB-TC499XP_436_CUP_STD;SAK-TC499XP-24HO400CS;Y;SAK-TC499XE-24HO400CS BA
SAB-TC499XP_436_MOD_STD;SAK-TC499XP-24HF400MS;Y;SAK-TC499XP-24HF400MS BA
SAB-TC499XP_436_CUP_STD;SAK-TC499XP-24HO400CS;Y;SAK-TC499XP-24HO400CS BA
SAB-TC499XP_436_MOD_STD;SAK-TC499XP-24HF400MS;Y;SAK-TC499XP-24HO400MS AA
SAB-TC1746-FU;SAL-TC1746-160FUP;A;SAL-TC1746F-320F160UP BA
SAB-TC1746-FU;SAL-TC1746-160FU;A;SAL-TC1746N-320F160U BA
SAB-TC1766-FU SURFTA;SAL-TC1766-192F80U BF;A;SAL-TC1766-192F80U BF
SAB-TC222L_PD-80_Z_CU;SAL-TC212L-8F133F Z NON CAN FD;M;SAL-TC212L-8F133F AC
SAB-TC222L_PD-80_Z_CU;SAL-TC222L-XXF133N Z CAN FD;M;SAL-TC212L-8F133N AC
SAB-TC223L_PD-100_Z_CU;SAL-TC223L-XXF133N Z CAN FD;M;SAL-TC213L-8F133N AC
SAB-TC222L_PD-80_Z_CU;SAL-TC222L-XXF133N Z CAN FD;M;SAL-TC222L-16F133N AC
SAB-TC223L (PD-100)_CU;SAL-TC223L-16F133F;M;SAL-TC223L-16F133F AB
SAB-TC223L_PD-100_Z_CU;SAL-TC223L-XXF133N Z CAN FD;M;SAL-TC223L-16F133N AC
SAB-TC223L_PD-100_Z_CU;SAL-TC223S-16F133F Z NON CAN FD;M;SAL-TC223S-16F133F AC
SAB-TC224L_PD-144_Z_CU;SAL-TC224L-16F133F Z NON CAN FD;M;SAL-TC224L-16F133F AC
SAB-TC224L_PD-144_Z_CU;SAL-TC224L-16F133N Z CAN FD;M;SAL-TC224L-16F133N AC
SAB-TC233L (PD-100)_CU;SAL-TC233L-32F200F;M;SAL-TC233L-32F200F AB
SAB-TC233L_PD-100_Z_CU;SAL-TC233L-32F200F Z NON CAN FD;M;SAL-TC233L-32F200F AC
SAB-TC233L_PD-100_Z_CU;SAL-TC233LP-32F200N Z CAN FD;M;SAL-TC233L-32F200N AC
SAB-TC233L (PD-100)_CU;SAL-TC233LP-32F200F;M;SAL-TC233LP-32F200F AB
SAB-TC233L_PD-100_Z_CU;SAL-TC233L-32F200F Z NON CAN FD;M;SAL-TC233LP-32F200F AC
SAB-TC233L_PD-100_Z_CU;SAL-TC233LP-32F200N Z CAN FD;M;SAL-TC233LP-32F200N AC
SAB-TC234L (PD-144)_CU;SAL-TC234L-32F200F;M;SAL-TC234L-32F200F AB
SAB-TC234L (PD-144)_CU;SAL-TC234LP-16F200F;M;SAL-TC234LP-16F200F AB
SAB-TC234L (PD-144)_CU;SAL-TC234LP-32F200F;M;SAL-TC234LP-32F200F AB
SAB-TC234L_PD-144_Z_CU;SAL-TC234LP-32F200N Z CAN FD;M;SAL-TC234LP-32F200N AC
SAB-TC237L (PD-292)_CU;SAL-TC237L-32F200S;M;SAL-TC237L-32F200S AB
SAB-TC237L (PD-292)_CU;SAL-TC237L-32F200S;M;SAL-TC237L-32F200S AB
SAB-TC237L_PD-292_Z_CU;SAL-TC237L-32F200S Z NON CAN FD;M;SAL-TC237L-32F200S AC
SAB-TC237L_PD-292_Z_CU;SAL-TC237LP-32F200N Z CAN FD;M;SAL-TC237LP-32F200N AC
SAB-TC237L (PD-292)_CU;SAL-TC237LP-32F200S;M;SAL-TC237LP-32F200S AB
SAB-TC237L_PD-292_Z_CU;SAL-TC237L-32F200S Z NON CAN FD;M;SAL-TC237LP-32F200S AC
SAB-TC260D_PD-BD_Z;SAL-TC260D-40F200N Z CAN FD;M;SAL-TC260D-40F200N BC
SAB-TC264D_PD-144_Z_CU;SAL-TC264D-40F200N Z CAN FD;M;SAL-TC264D-40F200N BC
SAB-TC264D_PD-144_Z_CU;SAL-TC264D-40F200N Z CAN FD;M;SAL-TC264D-40F200N BC
SAB-TC264D (PD-144)_CU;SAK-TC264D-40F200W (PD-144);M;SAL-TC264D-40F200W BB
